;NAME;;P0;;;P1;;;DM;;;W50;;;S400;;;DIST;ASSOC;SNR_age_min;SNR_age_max;PSR;R_LUM;R_LUM14;AGE;BSURF;
59;J1930+1852;clb+02;0.136855046957;9.0e-12;clb+02;7.50570E-13;1.0e-17;clb+02;307.30;1.0e-01;sjk+21;19.2;0;sjk+21;*;0;*;7.000;SNR:G54.1+0.3,XRS:;1500;2400;HE;*;2.94;2.89e+03;1.03e+13;
#60;J1935+2154;irz+14;3.24506508;1.1e-07;ier+16;1.432E-11;4.0e-14;ier+16;*;0;*;*;0;*;*;0;*;*;XRS:SGR_1935+2154,SNR:G57.2+0.8(?)[gae14];16000;95000;AXP,NRAD;*;*;3.59e+03;2.18e+14;
61;B1951+32;kcb+88;0.0395311928548;1.1e-12;hlk+04;5.844803E-15;8.0e-21;hlk+04;45.006;1.9e-02;hlk+04;3.7;1.0e-01;dmo+24;7.0;1.0e+00;lylg95;3.000;GRS:4FGL_J1952.9+3252[aab+22],SNR:CTB80[ah21];60000;60000;HE[sof95],HE[aaa+10m];63.00;9.00;1.07e+05;4.86e+11;
62;J1957+2831;llc98;0.3076828651978;1.7e-12;hlk+04;3.10989E-15;3.0e-20;hlk+04;138.99;8.0e-02;hlk+04;9.0;6.0e-01;dmo+24;*;0;*;6.891;;40000;140000;*;*;47.49;1.57e+06;9.9e+11;
63;J2016+3711;lzc+24;0.05080873772;1.6e-10;lzc+24;7.2471E-14;3.0e-18;lzc+24;428.00;1.0e-01;lzc+24;*;0;*;*;0;*;13.298;SNR:G74.9+1.2(CTB87)[lzc+24];4000;28000;HE[lzc+24];*;*;1.11e+04;1.94e+12;
64;J2021+4026;aaa+09c;0.26531766093;5.0e-11;rkp+11;5.4682E-14;3.0e-18;rkp+11;*;0;*;3;0;mll+06;*;0;*;2.150;GRS:4FGL_J2021.5+4026[aab+22],SNR:G78.2+2.1[wsc+06],XRS:2XMM_J202131.0+402645[lhh+13];8000;16000;NRAD[aab+22];*;*;7.69e+04;3.85e+12;
65;J2022+3842;agr+11;0.04857877964;3.0e-11;apk14;8.61E-14;2.0e-16;apk14;429.1;5.0e-01;agr+11;*;0;*;*;0;*;10.000;GRS:4FGL_J2022.3+3840[aab+22],XRS:CXOU_J202221.68+384214.8,SNR:G76.9+1.0;5000;9000;HE;*;*;8.94e+03;2.07e+12;
66;J2229+6114;hcg+01;0.05164758740;1.9e-10;saa+23;7.73871E-14;1.1e-18;saa+23;205.100;1.3e-02;mss+20;4.0;1.0e+00;hcg+01;1.5;0;slr+14;3.000;GRS:4FGL_J2229.0+6114[aab+22],SNR:G106.6+2.9[aab+15],PWN:G106.6+2.9[aaa+20a];3900;3900;HE[hcg+01],HE[ppp+09],HE[aaa+09i];13.50;2.25;1.06e+04;2.02e+12;
#67;J2301+5852;fg81;6.9790709703;1.5e-09;dk14;4.7123E-13;4.0e-17;dk14;*;0;*;*;0;*;*;0;*;3.300;SNR:CTB109,XRS:1E_2259+586;8800;14000;AXP,NRAD;*;*;2.35e+05;5.8e+13;
68;B2334+61;dtws85;0.495369868028;5.0e-12;ymw+10;1.934498E-13;8.0e-19;ymw+10;58.410;1.5e-02;hlk+04;14.5;0;lylg95;10;2.0e+00;lylg95;0.700;SNR:G114.3+0.3[frs93];7700;7700;*;4.90;0.69;4.06e+04;9.91e+12;
